2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 15:48:51 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:54 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:49:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:49:14 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:49:14 INFO: Got difference for account updates
2024-10-11 15:49:23 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:49:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:49:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:50:12 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:50:29 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:50:54 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:51:17 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:51:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:51:47 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:51:53 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:02 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:08 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:10 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:17 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:21 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:24 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:28 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:33 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
